title,price,image_small
"Konservuoti kukurūzai WELL DONE, 150 g",0.99,https://cdn.barbora.lt/products/d44c2a6b-a0ef-4df0-981f-f4c5c18ebb87_s.png
"Virta GIMINIŲ DAKTARIŠKA dešra, a. r., 250 g",2.89,https://cdn.barbora.lt/products/d9dfa848-2835-4dca-a015-12432dc95941_s.png
"GRŪDĖTA varškė  su mėlynėmis, 7% rieb., 150 g",1.69,https://cdn.barbora.lt/products/237ef0c6-327a-4ef9-8e0e-1d85ac185e2c_s.png
"Pusriebė DVARO varškė, 9 % rieb., 400 g",2.99,https://cdn.barbora.lt/products/2d0c3c7c-b1d9-4861-9018-f721f5b0cb89_s.png
"Konservuoti burokėliai obuolių sultyse, 480 g",1.55,https://cdn.barbora.lt/products/6ac9f375-c512-493c-9050-d7303a4805e3_s.png
"Šaldyta pica DR. OETKER FELICIANA su kumpiu ir pesto padažu, 360 g",3.59,https://cdn.barbora.lt/products/18582dd4-f7df-425c-bc2f-b65acba1731b_s.png
"Vytinta pjaustyta BERNŲ dešra, a. r., 90 g",3.19,https://cdn.barbora.lt/products/ec31e297-8719-4c72-8f19-390296610129_s.png
"ROKIŠKIO sviestas, 82 % rieb., 200 g",1.79,https://cdn.barbora.lt/products/fa932015-2954-4278-9750-eb1fbd430598_s.png
"GRŪDĖTA varškė  su braškėmis, 7 % rieb., 150 g",1.69,https://cdn.barbora.lt/products/7ebe93b3-06c9-44b9-ba4a-74b19481d6bc_s.png
"Mažosios kviečių tortilijos SANTA MARIA TEX MEX, 8 vnt., 200 g",2.29,https://cdn.barbora.lt/products/923c0a28-8302-4718-9645-a5a0c8ea4c5c_s.png
"Gazuotas gėrimas PEPSI MAX, 1.5 l",1.99,https://cdn.barbora.lt/products/af8833fa-413c-401a-b5b0-27a3d15ccff0_s.png
"Virtos BIOVELOS pieniškos dešrelės, Aukščiausia rūšis, 260 g",1.49,https://cdn.barbora.lt/products/96f363bf-8b61-41bb-824d-7eeed22247d3_s.png
"Kosmetiniai vatos diskeliai DIVUS, 120 vnt., 120 vnt.",1.15,https://cdn.barbora.lt/products/6b329bbf-bb5a-490c-9db8-e3f807bf8c71_s.png
"Marinuoti agurkai WELL DONE, 6-9 cm, 680 g",2.19,https://cdn.barbora.lt/products/bc9caf67-e3a3-4d14-b0c8-8a2dc77b387c_s.png
"Konservuoti kukurūzai WELL DONE, 340 g",1.39,https://cdn.barbora.lt/products/f5f70aca-8723-4d27-afad-0f074f77580a_s.png
"Korėjietiškos morkos, 400 g",1.99,https://cdn.barbora.lt/products/edba8069-cef9-468f-a569-0a96a62b74da_s.png
"Konservuoti smulkinti lupti pomidorai WELL DONE, 400 g",1.49,https://cdn.barbora.lt/products/f218e721-e44a-4174-b500-34127bfe046b_s.png
"GRŪDĖTA varškė su avietėmis, 7 % rieb., 150 g",1.69,https://cdn.barbora.lt/products/3a9b253c-15ec-4135-9d73-bf6198908882_s.png
"Virtas kalakutienos kumpis, I r., 180 g",3.99,https://cdn.barbora.lt/products/9576eead-0879-4f52-b3f3-574d3744b47b_s.png
"Gl. VILKYŠKIŲ sūrelis LESS SUGAR su sūria karam., 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/e8a146cd-6a14-4a41-89e6-b55302aaf39f_s.png
"Šaltai rūkytas GIMINIŲ saliamis, a. r., 90 g",1.99,https://cdn.barbora.lt/products/94c7ba33-882e-4f41-90a5-2451d19102f2_s.png
"Lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 250 g",0.59,https://cdn.barbora.lt/products/5156125c-7eff-4e0a-82f5-52f7a2f42720_s.png
"Višt. faršas kotl. VILNIAUS PAUKŠTYNAS, rieb. maž. kaip 15 %, 400 g",2.09,https://cdn.barbora.lt/products/ea677aba-0a08-487a-a43f-7969355c4927_s.png
"Plikyti ryžiai SKANĖJA (4 x 125 g), 500 g",0.89,https://cdn.barbora.lt/products/fa1a2e45-98db-4d1f-94af-70b5a5546fa6_s.png
"Sausainiai SELGA CLASSIC, 180 g",0.69,https://cdn.barbora.lt/products/6c2546d5-156d-49db-8504-d846b4c7a8cd_s.png
"KĖDAINIŲ KONSERVŲ FABRIKO marinuoti agurkai su ąžuolų lapais, 660 g",2.59,https://cdn.barbora.lt/products/c03c446c-1b9f-4ec8-9d13-12e2a92dc90c_s.png
"Avižiniai sausainiai JAVINĖ, 350 g",1.85,https://cdn.barbora.lt/products/8cef9602-c5fc-4edb-a924-9557496158c2_s.png
"Ruginė raikyta duona JONĖ be mielių, 390 g",1.35,https://cdn.barbora.lt/products/2a091dd1-e8d2-43b7-aa23-0b9405d5bebb_s.png
"Popieriniai rankšluosčiai BLOOM JUMBO, 2 sluoksnių, 1 vnt. ",1.79,https://cdn.barbora.lt/products/331654a3-575e-40c7-b630-ffdb4a0038ad_s.png
"Glaist. VILKYŠKIŲ varškės sūrelis su žemuogėmis, 23 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/4baa6627-5a1c-4f16-9e9d-4964de4ca84e_s.png
"Raikytas SUMUŠTINIŲ batonas VILNIAUS DUONA, 350 g",0.75,https://cdn.barbora.lt/products/d89827fb-25d9-4693-8f3e-286002499a18_s.png
"Karštai rūkytas KLAIPĖDOS kiaulienos kumpis, a. r., 100 g",1.69,https://cdn.barbora.lt/products/2dbe9d14-79ae-4afc-861e-42f3efe1af36_s.png
"Šaltai rūkyta kiaulienos šoninė, a. r., 140 g",3.49,https://cdn.barbora.lt/products/3627d3d9-fcc3-453a-8c4f-83f4eb5a5a05_s.png
"Šviežia pjaustyta kiaulienos nugarinė WELL DONE, 360 g",2.49,https://cdn.barbora.lt/products/06f1cee5-75fd-493e-b7f3-7d6e5f144989_s.png
"Šaltai rūkyti kiaulienos šoninės kubeliai MORLINY, 200 g",1.95,https://cdn.barbora.lt/products/b936cba4-c9fc-473a-8eb6-590c420ee29e_s.png
"Kvapnūs šiukšlių maišai HOME EXPERT, 60 l, 10 vnt, 10 vnt.",1.19,https://cdn.barbora.lt/products/1dbada04-b3e1-4baa-81c0-3279e9122b4f_s.png
"Tortilijos su viso grūdo miltais SANTA MARIA, 320 g",2.99,https://cdn.barbora.lt/products/8a3c7494-29a1-4fe8-aa56-b4cd98551a78_s.png
"Gl. VILKYŠKIŲ sūrelis LESS SUGAR, vanilės skonio, 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/fb399119-eb2a-4b18-abd2-61f7f1ef7d2c_s.png
"Konservuoti avinžirniai EXTRA LINE, 400 g",0.79,https://cdn.barbora.lt/products/f69257f1-cf4e-4959-8464-0435d96e99b4_s.png
"Kiaulienos kukuliai GRYNUOLIAI, 300 g",1.79,https://cdn.barbora.lt/products/b32a2f54-a546-4f9a-8a30-a4fb379c1e00_s.png
"Vištienos faršas VILNIAUS PAUKŠTYNAS, rieb. mažiau kaip 15 %, 400 g",1.99,https://cdn.barbora.lt/products/624b498a-b125-4fce-a4c7-3c06d94577b7_s.png
"Tualetinis popierius BLOOM COMFORT SOFT ORANGE, 3 sluoksnių, 16 vnt.",2.79,https://cdn.barbora.lt/products/b0a81e79-6ac1-410a-beba-5aa23ba406a9_s.png
"Konservuotos baltosios pupelės EXTRA LINE, 400 g",0.65,https://cdn.barbora.lt/products/72d8532e-af8d-498a-819e-9f2a6c267c8a_s.png
"	VILKYŠKIŲ glaistytas sūrelis MURR, braškinės panakotos sk., 29 %, 40 g",0.59,https://cdn.barbora.lt/products/aa6c1851-b199-4547-bbb8-6331ab674a32_s.png
"Šiukšlių maišai HOME EXPERT, 60 l, 25 vnt.",0.79,https://cdn.barbora.lt/products/6be74e63-530e-49f0-99e1-8e9ee7d73ce8_s.png
"Višt. filė faršas VILNIAUS PAUKŠTYNAS, rieb. mažiau kaip 15%, 400 g",2.09,https://cdn.barbora.lt/products/baa82acc-8b06-445d-a937-eadf7a6efb60_s.png
"Karštai rūkytas GIMINIŲ servelatas, a. r., 200 g",3.19,https://cdn.barbora.lt/products/99821512-0915-4c86-8639-be8a65eadaa5_s.png
"Šaldyta pica DR. OETKER FELICIANA su 4 rūšių sūriais, 325 g",3.59,https://cdn.barbora.lt/products/3104347f-1c58-4d65-9e1f-543136f1ee65_s.png
"Kukurūzų trapučiai SAULĖS GRŪDAS, 120 g",0.95,https://cdn.barbora.lt/products/9d21e1cd-b628-4f62-9407-0b7053627a68_s.png
"Lazanija BOLOGNESE COME A CASA, 1 kg",3.79,https://cdn.barbora.lt/products/2d5dae6b-26e3-4495-b0ee-5f6cc513de6e_s.png
"Konservuotos raudonosios pupelės WELL DONE, 400 g",1.35,https://cdn.barbora.lt/products/02e43926-22a0-45e6-8e68-4d91bdfa7890_s.png
"Smulkinti lupti pomidorai su bazilikais WELL DONE, 400 g",1.49,https://cdn.barbora.lt/products/1026e940-e034-4cd9-92ec-30c9d3958bae_s.png
"Konservuoti RINKTINIAI žirneliai, 690 g",2.29,https://cdn.barbora.lt/products/9b26ac13-b64d-44dc-8ce7-d4bd826dd96a_s.png
"Glaistytas VILKYŠKIŲ varškės sūrelis LESS SUGAR, braškių sk., 30 %, 40 g",0.65,https://cdn.barbora.lt/products/29de5110-52c6-4704-a010-645712b94fc1_s.png
"Glaistytas VILKYŠKIŲ vanilės sk. varškės sūrelis, 24 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/b369bb15-bef7-41c0-95ea-1aae690fa3ee_s.png
"Šaltai rūkyta KREKENAVOS skilandinė dešra, a. r., 350 g",2.99,https://cdn.barbora.lt/products/a355b344-0940-44c0-9065-7b5fb67b9707_s.png
"Konservuoti kukurūzai BONDUELLE KIDS, 170 g",1.59,https://cdn.barbora.lt/products/a0d03fc2-1139-43cd-9b5e-2439c62eb445_s.png
"Kepimo popierius UNIWELL, 30 lapų, 30 vnt.",1.79,https://cdn.barbora.lt/products/842ffe80-530b-488c-8c82-3879db71c9a5_s.png
"Karštai rūkyta KLAIPĖDOS kiaulienos nugarinė, a. r., 100 g",2.79,https://cdn.barbora.lt/products/798b725d-b9ec-4149-895c-215b8351c705_s.png
"Takų prieskonių mišinys SANTA MARIA TEX MEX, 28 g",1.29,https://cdn.barbora.lt/products/4b66e411-088c-4171-9260-a60b35357a8e_s.png
"Ausų krapštukai KOSMELUX, 200 vnt., 200 vnt.",0.85,https://cdn.barbora.lt/products/eadf2721-e0b8-4e75-9317-84f4386b871b_s.png
"Gazuotas gėrimas MIRINDA, 1.5 l",1.99,https://cdn.barbora.lt/products/3f61968c-7f1d-415e-ad29-e999e7acb5ec_s.png
"Varškės sūrelis LESS SUGAR, karameliz. bananų sk., 30% rieb., 40 g",0.65,https://cdn.barbora.lt/products/f9327da1-5c66-4266-a07f-f7e9215c45ed_s.png
"Užrišami šiukšlių maišai, 60 l, 10 vnt. HOME EXPERT",1.79,https://cdn.barbora.lt/products/42c3553a-283b-4467-bbf7-30a9f41fff64_s.png
"Fasavimo maišeliai, 100 vnt., 1 vnt.",1.49,https://cdn.barbora.lt/products/fb2bbd12-6af6-48c9-9d5a-ccab6202dc92_s.png
"Kokosų kremas SANTA MARIA, rieb. 24 %, 250 ml",3.39,https://cdn.barbora.lt/products/e3b9b4dc-4eb2-4fdc-8de8-11e08a03fe47_s.png
"Gl. varškės sūrelis MURR, braškinės mačios sk., 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/feab8af9-134a-44cf-8b6a-9e81ad591c00_s.png
"Virta DAKTARIŠKA EKSTRA dešra, a. r., 600 g",2.99,https://cdn.barbora.lt/products/7370dfd1-3996-4904-bbff-cdf63d596761_s.png
"Pomidorų pasta 30% EXTRA LINE, 180 g",0.69,https://cdn.barbora.lt/products/e1ebe0ad-c3ac-4a43-8cce-0c7a2a235d5c_s.png
"Kukurūzų traškučiai TAFFEL NACHO CHEESE BALLS, sūrio skonio, 165 g",2.79,https://cdn.barbora.lt/products/e75c7fb0-365b-4538-81b0-1395179d1510_s.png
"Konservuoti avinžirniai WELL DONE, 330 g",1.49,https://cdn.barbora.lt/products/f7d09f3f-99cd-40e1-83f0-509bdc389011_s.png
"Šaltai rūkytas pjaustytas česnakinis saliamis, II r., 110 g",2.29,https://cdn.barbora.lt/products/9e12ba6d-33dc-43bc-bcc1-c9589fcac93e_s.png
"Vytintas ispaniškas kumpis SERRANO WELL DONE, pj., nerūš., 100 g",2.49,https://cdn.barbora.lt/products/5d800b4d-27e1-46a0-a93d-2338d7e7fd6a_s.png
"Gazuotas gėrimas PEPSI LIME, 1.5 l",1.99,https://cdn.barbora.lt/products/0fe192c9-1bab-47f6-a125-40d96f495797_s.png
"Smulkus rudasis cukrus WELL DONE, 500 g",0.99,https://cdn.barbora.lt/products/abadd7ad-fc41-4dd5-b337-def3f1785758_s.png
"Keptos pupelės pomidorų padaže HEINZ, 415 g",2.19,https://cdn.barbora.lt/products/7f3c137a-25ab-4b10-8b53-d1cf097e2b9c_s.png
"Konservuotos juodosios pupelės WELL DONE, 400 g",1.35,https://cdn.barbora.lt/products/7733e06e-368b-42a6-8f4f-e79b51caa9e9_s.png
"Karštai rūkytas GIMINIŲ saliamis (griežinėliai), I r., 100 g",1.29,https://cdn.barbora.lt/products/eff76cc4-5b8a-47ab-a3c3-0cd61cddc064_s.png
"Virta kiaulienos dešra WELL DONE, a. r., 200 g",1.39,https://cdn.barbora.lt/products/e399cd5e-327c-4c4e-b4f1-4f2b1b6b96d5_s.png
"Sausainiai SELGA, šokolado skonio, 180 g",0.69,https://cdn.barbora.lt/products/f86f9bd8-c278-4ab9-9ff1-f429f712b3af_s.png
"Gazuotas gėrimas 7UP, 1.5 l",1.99,https://cdn.barbora.lt/products/2c94b66e-3335-4e18-ad98-43a161096e35_s.png
"Rauginti agurkai, 300 g",1.19,https://cdn.barbora.lt/products/4f27284f-1fe6-4d6c-966e-d11c969cc0cb_s.png
"Virtos VAIKŲ dešrelės , a.r., 230 g",1.74,https://cdn.barbora.lt/products/bf57c660-effe-4b00-8b46-59168ced6887_s.png
"Vytinta BERNŲ dešra, a. r., 200 g",3.24,https://cdn.barbora.lt/products/cac1b107-fa13-4ca9-b302-7b57df9f4723_s.png
"KĖDAINIŲ KONSERVŲ FABRIKO aviečių uogienė, 430 g",4.49,https://cdn.barbora.lt/products/2c44a5d5-2cb3-4b8b-8a77-8d6289aa4321_s.png
"Dantų siūlas JORDAN 3 IN 1 su laikikliu, 50 vnt.",2.99,https://cdn.barbora.lt/products/47388ea9-f29a-4cf1-a7b7-611e2e8897a4_s.png
"Itališkas MILANO saliamis WELL DONE, pjaustytas, a. r., 100 g",2.25,https://cdn.barbora.lt/products/49369cf8-fb35-49b8-9c01-d4379b496c0a_s.png
"DAUMANTŲ KARALIŠKAS pomidorų padažas (originalaus skonio), 500 g",2.49,https://cdn.barbora.lt/products/d49b3030-4f32-4800-bed1-5f38951612b2_s.png
"Pieniniai javinukai JAVINĖ, 150 g",1.09,https://cdn.barbora.lt/products/ee665c1e-f9a6-45ac-a1a6-d7cacce0865a_s.png
"Klasikiniai krekeriai GAIDELIS, 70 g",0.59,https://cdn.barbora.lt/products/e2a74d1d-094f-4b4b-ab7f-efdc6bece615_s.png
"Kokosų gėrimas SANTA MARIA, rieb. 18 %, 250 ml",2.49,https://cdn.barbora.lt/products/c0659fba-12ef-4a92-8991-3379daa33acc_s.png
"Tamsi duona MORTA su raugu ir saulėgrąžomis, 500 g",1.35,https://cdn.barbora.lt/products/25200dab-d44b-45da-a358-e6bc5d43c584_s.png
"Silikagelio kačių kraikas KLUMPE CRYSTAL CLEAR, 3.8 l",4.89,https://cdn.barbora.lt/products/2209722a-7397-4fe7-ae0c-641b8c1ce667_s.png
"Lupti virti tark. burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g",0.99,https://cdn.barbora.lt/products/506fc7e1-826a-414e-8f51-eda9900595d1_s.png
"Aviečių uogienė WELL DONE, 350 g",2.89,https://cdn.barbora.lt/products/e42cf8fe-b249-4635-9652-9e9e54014806_s.png
"Kiaulienos ir jautienos mėsos kukuliai GRYNUOLIAI, 300 g",2.49,https://cdn.barbora.lt/products/2d36d2fb-d361-400a-806f-43ed0ceb90ed_s.png
"Kepimo popierius UNIWELL, 10 m x 29 cm, 1 vnt.",1.3,https://cdn.barbora.lt/products/b41d2656-fc37-4761-8a20-b3e13ee455fc_s.png
"Humusas WELL DONE, klasikinio skonio, 160 g",0.99,https://cdn.barbora.lt/products/a668f852-0c03-4d5e-965d-0d54d0009b7a_s.png
"Kon. lupti pomidorai EXTRA LINE, 400 g",0.79,https://cdn.barbora.lt/products/9838a35f-b7a7-45ef-a2ca-82bd2c9e0b67_s.png
"Bulvių traškučiai TAFFEL SAN DIEGO, pomidorų skonio, 180 g",2.59,https://cdn.barbora.lt/products/8f4c3593-3a84-4fcf-a7ed-c184cabb22bf_s.png
"Konservuoti smulkinti pomidorai COPPOLA (POLPA) savo sultyse, 400 g",1.75,https://cdn.barbora.lt/products/68de30e2-e770-484b-991b-fe88c5e42f5d_s.png
"Šaltai rūkytas ŠVARCVALDO kumpis WELL DONE, nerūš., 80 g",1.59,https://cdn.barbora.lt/products/efe6949e-3a46-427b-b3ef-1554854db851_s.png
"Marinuoti agurkėliai WELL DONE, 680 g",2.19,https://cdn.barbora.lt/products/2778c967-a0a2-4fc2-a325-ff822a1b04d8_s.png
"Konservuotos raudonosios pupelės HEINZ, 400 g",1.89,https://cdn.barbora.lt/products/c1fc5666-a174-46ce-a7a1-249d232ff64d_s.png
"Šv. viščiukų sparnelių peteliai WELL DONE, užaug. be antib., 500 g",2.19,https://cdn.barbora.lt/products/5cc32aa7-d560-440f-a321-7c9ef7bc3d15_s.png
"Bulvių traškučiai LAY'S su druska, 130 g",2.19,https://cdn.barbora.lt/products/b6690446-3817-471c-8ed4-3b922b236f8a_s.png
"Šviežios kiaulienos storosios dešrelės WELL DONE, 400 g",1.99,https://cdn.barbora.lt/products/d36d682d-c0c5-46bf-bcd2-d7278578600b_s.png
"Virtas pjaustytas jautienos kumpis, I r., 90 g",2.69,https://cdn.barbora.lt/products/ebaea9e1-4b0f-4a45-985f-1bf8bc995583_s.png
"Glaistytas varškės sūrelis MURR, mačios skonio, 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/7ad518a2-7f80-4687-a34b-03bf66ae3f77_s.png
"KĖDAINIŲ KONSERVŲ FABRIKO braškių uogienė, 430 g",3.59,https://cdn.barbora.lt/products/d0712e93-b349-4597-894b-be284ddef3bd_s.png
"KĖDAINIŲ KONSERVŲ FABRIKO marinuoti saldžiarūgščiai agurkai, 720 ml",2.49,https://cdn.barbora.lt/products/f29e52ab-f07b-4337-8392-6362a5ee6685_s.png
"Konservuotas kačių ėdalas FELIX su mėsa, 340 g",2.39,https://cdn.barbora.lt/products/9eb17462-505b-4e98-8ca9-b03d9b666c84_s.png
"Konserv. smulkinti pomidorai MUTTI FINELY CHOPPED TOMATOES, 400 g",1.99,https://cdn.barbora.lt/products/189ba005-4f2c-4130-9e24-c54ef3ea7319_s.png
"Virtos saldžiųjų kukurūzų burbuolės WELL DONE, 450 g",1.99,https://cdn.barbora.lt/products/9d7b877b-2e09-4f1d-8463-227ac026bd32_s.png
"Virtas vištienos krūtinėlės kumpelis, 280 g, 280 g",2.99,https://cdn.barbora.lt/products/4345a72d-0e3d-422b-a246-d1e98520717f_s.png
"Jog. gėrimas ACTIMEL ACTIKIDS, braškių sk., 4x100g, 1,4%rieb, 400 g",1.69,https://cdn.barbora.lt/products/70aeb7b0-28f5-48d0-af4c-3d3d00f47b6e_s.png
"Bulvių traškučiai ESTRELLA, grietinės ir svogūnų skonio, 250 g",3.89,https://cdn.barbora.lt/products/d5431333-31fa-4a51-b512-c3898243d095_s.png
"Vytinta dešra PEPPERONI, a. r., 90 g",2.79,https://cdn.barbora.lt/products/30444993-9248-4b8b-b219-ad6355411a0e_s.png
"Lazanija BOLOGNESE COME A CASA, 400 g",2.19,https://cdn.barbora.lt/products/fc65e51f-548b-4e14-a9c9-48866a3db0fc_s.png
"Pomidorų pasta MUTTI DOUBLE CONCENTRATED, 130 g",1.99,https://cdn.barbora.lt/products/74347016-294b-4637-9ca6-7596cdf5bdd4_s.png
"Maisto atliekų rūšiavimo šiukšlių maišai,25vnt., 25 vnt.",1.09,https://cdn.barbora.lt/products/f318d515-b50d-4acf-957e-425e403879b1_s.png
"Šiukšlių maišai 60l/10vnt., HOME EXPERT, 30mk, Juodi",1.19,https://cdn.barbora.lt/products/a1db9397-6ecc-4fec-909e-214ee3c0eb38_s.png
"Kukurūzų trapučiai USTUKIŲ MALŪNAS, 130 g",0.99,https://cdn.barbora.lt/products/436ac320-139c-4ba1-88fb-d22a9c69773d_s.png
"Grikių kruopos SKANĖJA (4 x 125 g), 500 g",1.13,https://cdn.barbora.lt/products/dc6d5c04-7fca-4ec6-9c10-72921855d693_s.png
"Kepti bulvių traškuč. LAY'S OVEN BAKED, jogurto, žolelių sk., 180 g",3.59,https://cdn.barbora.lt/products/950de06a-179f-42a8-8c0c-4d98e06281a8_s.png
"	VILKYŠKIŲ glaistytas sūrelis MURR, karamelės ir spragėsių sk., 29 %, 40 g",0.59,https://cdn.barbora.lt/products/d2bf31ac-82b3-4141-8dd1-0b0a32e8b9ba_s.png
"Bulvių traškučiai TAFFEL SAN DIEGO, 250 g",3.45,https://cdn.barbora.lt/products/56ee2521-7451-4f58-8f5b-7f2035fd3f4a_s.png
"Glaist. VILKYŠKIŲ varškės sūrelis su aguonomis, 25 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/d2211f20-5e81-4093-8112-fdeedcef045f_s.png
"Saulėje džiovinti pomidorai GUSTOSELLI, 280 g",2.59,https://cdn.barbora.lt/products/7cb547cc-b539-4f1f-ad64-d5732452d329_s.png
"Javinukai JAVINĖ, jogurto skonio, 150 g",1.09,https://cdn.barbora.lt/products/5bb3bd4c-7cfd-49d2-a86d-4d5a0ef5dfe4_s.png
"Perlinės kruopos SKANĖJA (4 x 100 g), 400 g",0.53,https://cdn.barbora.lt/products/e4ca0e3b-cb4b-4b62-9217-ac6dd82d36d1_s.png
